Timestamp,Stock,Buy Price,Current Price,P/L
2026-07-06 08:19:55,AMZN,200.0,242.67,42.67
2026-07-06 08:19:55,MSFT,550.0,390.49,-159.51
2026-07-06 08:19:55,NKE,150.0,44.09,-105.91
2026-07-06 08:19:55,META,300.0,582.9,282.9
2026-07-06 08:19:55,BA,50.0,226.49,176.49
2026-07-06 08:20:37,AAPL,100.0,308.63,208.63
2026-07-06 08:20:37,GOOGL,3000.0,359.91,-2640.09
2026-07-06 08:20:37,TSLA,700.0,393.45,-306.55
2026-07-06 08:20:37,AMZN,200.0,242.67,42.67
2026-07-06 08:20:37,MSFT,550.0,390.49,-159.51
2026-07-06 08:20:37,NKE,150.0,44.09,-105.91
2026-07-06 08:20:37,META,300.0,582.9,282.9
2026-07-06 08:20:37,BA,50.0,226.49,176.49
2026-07-06 08:25:51,AAPL,100.0,308.63,208.63
2026-07-06 08:25:51,GOOGL,3000.0,359.91,-2640.09
2026-07-06 08:25:51,TSLA,700.0,393.45,-306.55
2026-07-06 08:25:51,AMZN,200.0,242.67,42.67
2026-07-06 08:25:51,MSFT,550.0,390.49,-159.51
2026-07-06 08:25:51,NKE,150.0,44.09,-105.91
2026-07-06 08:25:51,META,300.0,582.9,282.9
2026-07-06 08:25:51,BA,50.0,226.49,176.49
2026-07-06 08:26:04,AAPL,100.0,308.63,208.63
2026-07-06 08:26:04,GOOGL,3000.0,359.91,-2640.09
2026-07-06 08:26:04,TSLA,700.0,393.45,-306.55
2026-07-06 08:26:04,AMZN,200.0,242.67,42.67
2026-07-06 08:26:04,MSFT,550.0,390.49,-159.51
2026-07-06 08:26:04,NKE,150.0,44.09,-105.91
2026-07-06 08:26:04,META,300.0,582.9,282.9
2026-07-06 08:26:04,BA,50.0,226.49,176.49
