Timestamp,AAPL Buy,AAPL Current,AAPL P/L,GOOGL Buy,GOOGL Current,GOOGL P/L,TSLA Buy,TSLA Current,TSLA P/L,AMZN Buy,AMZN Current,AMZN P/L,MSFT Buy,MSFT Current,MSFT P/L,NKE Buy,NKE Current,NKE P/L,META Buy,META Current,META P/L,Total P/L
2026-07-03 04:23:39,100.0,307.48,207.48,3000.0,356.04,-2643.96,700.0,393.74,-306.26,200.0,245.96,45.96,550.0,389.76,-160.24,150.0,44.12,-105.88,300.0,586.41,286.41,-2676.48
2026-07-03 04:29:43,100.0,308.1,208.1,3000.0,355.63,-2644.37,700.0,392.88,-307.12,200.0,246.19,46.19,550.0,390.78,-159.22,150.0,44.02,-105.98,300.0,587.11,287.11,-2675.29
2026-07-03 04:42:49,100.0,307.42,207.42,3000.0,355.7,-2644.3,700.0,392.12,-307.88,200.0,245.49,45.49,550.0,390.43,-159.57,150.0,43.95,-106.05,300.0,586.61,286.61,-2678.27
2026-07-03 04:44:57,100.0,307.52,207.52,3000.0,355.51,-2644.49,700.0,392.26,-307.74,200.0,245.4,45.4,550.0,390.64,-159.36,150.0,43.97,-106.03,300.0,586.37,286.37,50.0,225.07,175.07,-2503.27
